Наименование вакансии	Зарплата	Наличие тестового задания	Дата публикации	Организация	URL-ссылка
Координатор отдела продаж	None-48400	Нет	27.02.2024	Объединенные кондитеры	https://hh.ru/vacancy/88590224
Project Менеджер (стажер) в Only	30000-None	Нет	27.02.2024	Онли	https://hh.ru/vacancy/92339962
Младший аналитик СМИ и социальных медиа (удаленно)	None	Нет	27.02.2024	Агентство «Инсайт»	https://hh.ru/vacancy/93848034
Продавец - кассир ЖК Зеленый квартал	61300-67000	Нет	20.02.2024	Бристоль, сеть магазинов	https://hh.ru/vacancy/93552219
Менеджер По Продажам| Много Горячих Клиентов | Наставничество |	500000-None	Нет	27.02.2024	Элитный Сочи	https://hh.ru/vacancy/71621221
Мерчендайзер (м. Московская)	None	Нет	13.02.2024	Шишкин Лес Холдинг	https://hh.ru/vacancy/93129170
Мерчендайзер (м. Дыбенко)	None	Нет	13.02.2024	Шишкин Лес Холдинг	https://hh.ru/vacancy/93127787
Мерчендайзер (м. Рыбацкое)	None	Нет	13.02.2024	Шишкин Лес Холдинг	https://hh.ru/vacancy/93128811
Младший менеджер по продажам (IT)	50000-70000	Нет	27.02.2024	Первый Бит	https://hh.ru/vacancy/89323421
Стажер отдела персонала / HR Intern	None	Нет	27.02.2024	Unilever	https://hh.ru/vacancy/93853469
Мерчендайзер (м. Ладожская)	None	Нет	13.02.2024	Шишкин Лес Холдинг	https://hh.ru/vacancy/93128604
Специалист по выкупу автомобилей с пробегом	200000-None	Нет	27.02.2024	Восток-Авто Жукова	https://hh.ru/vacancy/84847548
Специалист технической поддержки	None	Нет	06.02.2024	АЛЬЯНС КРЕДИТ	https://hh.ru/vacancy/92776028
Менеджер по продажам (IT)	None	Нет	27.02.2024	Первый Бит	https://hh.ru/vacancy/88534498
Младший аналитик	None	Нет	26.02.2024	НПК КАТАРСИС	https://hh.ru/vacancy/71903031
